id,article,order,hm_answer,hm_correct,accuracy,confidence,language_errors,factual_errors,group,how_often_do_you_read_news,tv2_nyhederne,dr,politiken,information,berlingske,jyllands_posten,b.t,ekstra_bladet,dagens.dk,zetland,other_media,gpt3_knowledge,error
1,X101,14,2,1,0,1,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X102,9,1,1,1,4,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,factual error
1,X103,2,1,1,1,4,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,both errors
1,X104,15,2,1,0,4,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,language error
1,X105,8,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X106,13,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,factual error
1,X107,16,1,1,1,1,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,factual error
1,X108,10,1,1,1,3,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,factual error
1,X109,1,2,2,1,4,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X110,5,1,2,0,1,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X111,3,2,2,1,2,2,1,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X112,12,1,2,0,2,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X113,7,1,2,0,2,2,1,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X114,4,2,2,1,4,1,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X115,11,1,2,0,5,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
1,X116,6,1,2,0,3,2,1,1,3,2,2,1,1,1,1,1,1,1,2,1,4,no error
2,X201,14,2,1,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X202,9,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X203,8,1,1,1,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X204,11,1,1,1,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,language error
2,X205,13,2,1,0,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,language error
2,X206,12,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X207,4,2,1,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,language error
2,X208,15,2,1,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X209,10,1,2,0,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X210,3,1,2,0,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,both errors
2,X211,6,1,2,0,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X212,7,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X213,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
