step,elapsed_tokens,elapsed_examples,training_loss,training_token_accuracy
1,882,2,0.991602762,0.696261682
2,1684,4,1.073542604,0.683229814
3,2566,6,0.906912292,0.701357466
4,3448,8,0.969475501,0.704845815
5,4170,10,1.065548702,0.67921147
6,4972,12,0.953450634,0.720930233
7,5694,14,1.05603952,0.690878378
8,6528,16,1.049143058,0.664484452
9,7314,18,1.199249869,0.648177496
10,8148,20,0.977142967,0.716894977
11,8982,22,0.834873092,0.726666667
12,9736,24,1.192062322,0.652246256
13,10442,26,1.098973958,0.648648649
14,11228,28,1.008013203,0.686520376
15,11998,30,1.125658513,0.6640625
16,12784,32,0.946292679,0.739616613
17,13554,34,1.200392511,0.659777424
18,14340,36,1.07271578,0.654991243
19,15094,38,1.12408293,0.693086003
20,15928,40,0.931063848,0.704142012
21,16714,42,0.765219249,0.759075908
22,17532,44,0.987972395,0.689381933
23,18350,46,0.864553554,0.713831479
24,19152,48,1.073363374,0.642735043
25,20098,50,0.840649879,0.709627329
26,20900,52,1.123876217,0.707592892
27,21702,54,0.831113251,0.723404255
28,22536,56,0.907498129,0.723004695
29,23386,58,1.104166595,0.649837134
30,24172,60,0.957548815,0.708196721
31,24974,62,1.043304673,0.676222597
32,25776,64,0.990282402,0.689873418
33,26546,66,0.90943211,0.721682848
34,27380,68,0.869920153,0.714057508
35,28134,70,1.08454772,0.688026981
36,28856,72,0.910575014,0.707979626
37,29834,74,1.008495555,0.675792507
38,30604,76,1.007651109,0.692058347
39,31406,78,0.932161996,0.718166384
40,32208,80,0.942967779,0.703071672
41,33010,82,0.841246017,0.716193656
42,33700,84,0.76026201,0.781690141
43,34470,86,0.794979841,0.727891156
44,35320,88,0.792249434,0.740399386
45,36106,90,0.993694373,0.694267516
46,36908,92,1.192201811,0.668202765
47,37806,94,1.062425035,0.701578192
48,38544,96,0.842007723,0.739208633
49,39346,98,1.047883384,0.672638436
50,40100,100,0.831588835,0.746434231
51,40838,102,1.034393177,0.707641196
52,41672,104,1.083165049,0.662222222
53,42426,106,0.904760759,0.693548387
54,43340,108,0.919063101,0.696923077
55,44158,110,0.796618697,0.749201278
56,44928,112,0.909748689,0.707275804
57,45746,114,1.099780542,0.678994083
58,46596,116,1.005464871,0.724533716
59,47382,118,0.975490546,0.720447284
60,48184,120,0.854671966,0.703389831
61,48970,122,1.036699247,0.677364865
62,49756,124,1.024324385,0.677777778
63,50606,126,0.796988096,0.717460317
64,51424,128,0.96094423,0.729071537
65,52226,130,0.843488138,0.73453997
66,53108,132,0.84683028,0.76744186
67,53942,134,0.851329066,0.712871287
68,54712,136,0.95771703,0.721581549
69,55530,138,0.897636157,0.695081967
70,56284,140,0.947297974,0.706086957
71,57102,142,0.881733609,0.721958926
72,57984,144,1.062172388,0.67765043
73,58690,146,1.188446699,0.653284672
74,59444,148,0.986103675,0.715220949
75,60390,150,0.744294382,0.741750359
76,61080,152,0.89698679,0.735135135
77,61866,154,0.890787176,0.728434505
78,62652,156,0.820815549,0.728896104
79,63470,158,1.021996536,0.685214626
80,64288,160,0.835014325,0.728506787
81,65058,162,0.95955281,0.689713322
82,65812,164,0.970688669,0.72027972
83,66614,166,0.950525974,0.714513557
84,67416,168,0.966762999,0.683566434
85,68202,170,0.74160943,0.722222222
86,69004,172,0.93827893,0.713607595
87,69774,174,0.801053264,0.757624398
88,70496,176,1.154068915,0.65840708
89,71282,178,0.959658865,0.711568938
90,72068,180,0.969553154,0.68877551
91,72854,182,0.966300204,0.716917923
92,73704,184,0.999926205,0.698142415
93,74474,186,0.98922595,0.692439863
94,75292,188,0.823650695,0.709122203
95,76062,190,0.86428008,0.724540902
96,76928,192,1.003821812,0.69740634
97,77682,194,0.952648605,0.705479452
98,78468,196,0.939646079,0.715254237
99,79270,198,0.932189064,0.700813008
100,80024,200,1.091288948,0.684303351
101,80794,202,1.072752153,0.682769726
102,81596,204,1.089940734,0.676236045
103,82318,206,0.900482958,0.726169844
104,83088,208,0.924345874,0.709836066
105,83826,210,0.953603569,0.722132472
106,84580,212,0.825854996,0.746365105
107,85334,214,0.88166325,0.713114754
108,86040,216,0.89924493,0.724954463
109,86826,218,0.964140694,0.717041801
110,87660,220,0.857207886,0.717285945
111,88446,222,0.829543828,0.731871838
112,89232,224,0.863283498,0.735909823
113,89970,226,1.155230316,0.674418605
114,90740,228,1.12555311,0.663763066
115,91526,230,0.868696519,0.706306306
116,92376,232,0.959171924,0.696
117,93098,234,0.985024985,0.700516351
118,93884,236,0.862900355,0.724473258
119,94686,238,1.106163671,0.657439446
120,95504,240,1.02028594,0.695393759
121,96242,242,1.064842626,0.690878378
122,96964,244,1.121458252,0.679144385
123,97782,246,1.084970772,0.703216374
124,98552,248,1.017278353,0.704433498
125,99290,250,0.880750082,0.725423729
126,100012,252,0.989841624,0.701030928
127,100734,254,1.21411221,0.642487047
128,101504,256,0.881483405,0.737439222
129,102306,258,0.837954891,0.719298246
130,103076,260,0.821444719,0.731023102
131,103894,262,0.935599955,0.681020734
132,104744,264,0.694162119,0.7696
133,105594,266,1.082575363,0.653846154
134,106556,268,0.974378054,0.683772538
135,107326,270,0.861252589,0.731218698
136,108208,272,0.995563717,0.66503268
137,109074,274,0.891841248,0.70942813
138,109860,276,0.944454727,0.70178282
139,110694,278,0.987652736,0.712307692
140,111464,280,1.045028962,0.660839161
141,112250,282,1.107750999,0.690332326
142,113004,284,0.950000309,0.718333333
143,113774,286,1.039966752,0.700162075
144,114512,288,1.121108625,0.685964912
145,115298,290,0.884988382,0.707482993
146,116180,292,0.948995286,0.697289157
147,117142,294,0.860874783,0.718446602
148,117976,296,0.876641521,0.690163934
149,118778,298,1.033859784,0.706065319
150,119612,300,0.944473487,0.703533026
151,120398,302,1.091304475,0.633057851
152,121216,304,0.855368614,0.705047319
153,121970,306,0.890479505,0.735099338
154,122772,308,0.776398066,0.764802632
155,123606,310,0.897015034,0.694444444
156,124408,312,1.101520047,0.690251572
157,125194,314,0.903442071,0.725490196
158,126012,316,1.12778158,0.674041298
159,126750,318,0.974486731,0.695945946
160,127632,320,1.004548313,0.672523962
161,128370,322,1.376508741,0.575045208
162,129172,324,0.906665931,0.703764321
163,129878,326,1.114280682,0.699463327
164,130584,328,1.05831486,0.702422145
165,131402,330,0.830323585,0.75
166,132204,332,0.888839877,0.720064725
167,132974,334,1.038893106,0.685667752
168,133776,336,0.873179036,0.719685039
169,134562,338,0.879426115,0.723333333
170,135316,340,1.092398251,0.635338346
171,136150,342,0.971277825,0.694402421
172,136824,344,0.991523296,0.705544933
173,137594,346,0.890432404,0.715044248
174,138380,348,0.810585869,0.731587561
175,139150,350,0.971457719,0.706161137
176,139920,352,0.775049233,0.751313485
177,140722,354,1.047867753,0.679365079
178,141540,356,0.836335364,0.749627422
179,142358,358,1.023113776,0.689713322
180,143160,360,1.127853187,0.657894737
181,143946,362,1.000227622,0.685393258
182,144684,364,1.083064669,0.68729097
183,145470,366,1.069625073,0.690095847
184,146144,368,0.951231445,0.741197183
185,146962,370,0.840010765,0.718076285
186,147748,372,0.907214038,0.726299694
187,148470,374,0.890296897,0.739057239
188,149240,376,0.935598561,0.694736842
189,150106,378,0.981725398,0.701062215
190,150924,380,0.820143507,0.719008264
191,151726,382,0.950544876,0.706645057
192,152512,384,0.777140345,0.740924092
193,153266,386,0.907135281,0.708754209
194,154084,388,0.776791673,0.767584098
195,154838,390,1.004351176,0.713355049
196,155592,392,0.938522939,0.724080268
197,156410,394,1.02513118,0.688102894
198,157164,396,1.08144089,0.673144876
199,157886,398,1.258208827,0.634974533
